MotherShip.UTCGregorian   MotherShip.motherVNB.X    MotherShip.motherVNB.Y    MotherShip.motherVNB.Z    MotherShip.motherVNB.VX   MotherShip.motherVNB.VY   MotherShip.motherVNB.VZ   
02 Jan 2028 04:19:12.000   -286.5947708763712        5.684341886080801e-13     51206.35642183691         2.670528611014053         0                         -1.222980050563649e-16    
02 Jan 2028 04:33:36.000   -346.2270878451305        -1.13686837721616e-13     51191.72279492904         2.671453464468847         0                         1.209969624493823e-16     
02 Jan 2028 04:48:00.000   -404.9598112200568        -9.094947017729282e-13    51174.34766528125         2.672326686530228         0                         -5.204170427930421e-18    
02 Jan 2028 05:02:24.000   -462.6705405644668        0                         51154.27440669138         2.673146814751587         0                         2.602085213965211e-18     
02 Jan 2028 05:16:48.000   -519.2387690034045        6.821210263296962e-13     51131.55220744852         2.673912467744703         0                         -3.122502256758253e-17    
02 Jan 2028 05:31:12.000   -574.5462281110701        -2.273736754432321e-13    51106.23597258028         2.674622330285994         0                         1.613292832658431e-16     
02 Jan 2028 05:45:36.000   -628.4773767845968        6.821210263296962e-13     51078.38621297135         2.675275132796136         -5.551115123125783e-17    -2.792904796322659e-16    
02 Jan 2028 06:00:00.000   -680.9204589919379        -4.547473508864641e-13    51048.06889545447         2.675869745474577         0                         1.595945597898663e-16     
02 Jan 2028 06:14:24.000   -731.7668992769113        0                         51015.35520883674         2.676406059002039         0                         -2.255140518769849e-16    
02 Jan 2028 06:28:48.000   -780.9051249097759        4.547473508864641e-13     50980.32182509593         2.67688204430541          0                         -1.561251128379126e-17    
02 Jan 2028 06:43:12.000   -828.2353510631044        0                         50943.05031900226         2.677297462731388         0                         1.023486850826316e-16     
02 Jan 2028 06:57:36.000   -873.6593872238539        -4.547473508864641e-13    50903.62705881431         2.677652001250773         -5.551115123125783e-17    3.642919299551295e-17     
02 Jan 2028 07:12:00.000   -917.0819201505187        0                         50862.14307772696         2.677945345437089         0                         6.938893903907228e-18     
02 Jan 2028 07:26:24.000   -958.411349167311         4.547473508864641e-13     50818.69391276567         2.678177233669172         0                         -6.938893903907228e-18    
02 Jan 2028 07:40:48.000   -997.5603683985494        0                         50773.37938839543         2.678347497513379         0                         0                         
02 Jan 2028 07:55:12.000   -1034.446319042896        9.094947017729282e-13     50726.30341604308         2.678456089806704         5.551115123125783e-17     -4.510281037539698e-17    
02 Jan 2028 08:09:36.000   -1068.991438486498        -4.547473508864641e-13    50677.57372899618         2.678503101852606         0                         3.122502256758253e-17     
02 Jan 2028 08:24:00.000   -1101.1230095326          9.094947017729282e-13     50627.3016563811          2.678488774206254         0                         -6.938893903907228e-18    
02 Jan 2028 08:38:24.000   -1130.773490038762        0                         50575.60185893479         2.678413501941175         0                         1.734723475976807e-17     
02 Jan 2028 08:52:48.000   -1157.880599313661        0                         50522.59207712228         2.678277834938493         2.775557561562891e-17     -1.040834085586084e-17    
02 Jan 2028 09:07:12.000   -1182.387420681052        -9.094947017729282e-13    50468.39285793505         2.678082476826531         2.775557561562891e-17     1.040834085586084e-17     
02 Jan 2028 09:21:36.000   -1204.242483767972        9.094947017729282e-13     50413.12729641903         2.677828281072098         0                         6.418476861114186e-17     
02 Jan 2028 09:36:00.000   -1223.399868608327        0                         50356.92074692595         2.677516247528234         2.775557561562891e-17     8.153200337090993e-17     
02 Jan 2028 09:50:24.000   -1239.819292267247        0                         50299.90055834329         2.677147517430349         2.775557561562891e-17     1.110223024625157e-16     
02 Jan 2028 10:04:48.000   -1253.466209198477        9.094947017729282e-13     50242.19577365672         2.676723369709835         0                         -1.543903893619358e-16    
02 Jan 2028 10:19:12.000   -1264.311891572045        9.094947017729282e-13     50183.93685722529         2.676245216250033         1.387778780781446e-17     -1.214306433183765e-17    
02 Jan 2028 10:33:36.000   -1272.333510039381        9.094947017729282e-13     50125.25538191166         2.675714598431374         0                         -1.595945597898663e-16    
02 Jan 2028 10:48:00.000   -1277.514193066511        0                         50066.28376248873         2.675133183815529         1.387778780781446e-17     -3.469446951953614e-17    
02 Jan 2028 11:02:24.000   -1279.84307531379         0                         50007.15492593755         2.674502761807423         1.387778780781446e-17     -5.551115123125783e-17    
02 Jan 2028 11:16:48.000   -1279.315324103025        0                         49948.00203737526         2.673825240421928         -2.081668171172169e-17    -9.8879238130678e-17      
02 Jan 2028 11:31:12.000   -1275.932149661872        0                         49888.95818677541         2.673102642956755         2.081668171172169e-17     1.170938346284345e-16     
02 Jan 2028 11:45:36.000   -1269.700798270037        9.094947017729282e-13     49830.15610759508         2.672337103340972         6.938893903907228e-18     1.50487261540988e-16      
